SITE_ID,SITE_NAME,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
,,Tier2,Tier2: 2001,Tier2: 2006,,,,,,
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,Tier2,Tier2: 2002,Tier2: 2014,42.6609,-80.5595,265,ENF,8,1036
CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,Tier2,Tier2: 2002,Tier2: 2007,42.7744,-80.4588,212,ENF,8,1036
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,Tier2,Tier2: 2002,Tier2: 2014,42.7068,-80.3483,184,ENF,8,1036
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,Tier2,Tier2: 2002,Tier2: 2014,42.7102,-80.3574,184,ENF,8,1036
CA-TPD,Ontario - Turkey Point Mature Deciduous,Tier2,Tier2: 2012,Tier2: 2014,42.6353,-80.5577,260,DBF,8,1036
CG-Tch,Tchizalamou,Tier2,Tier2: 2006,Tier2: 2009,-4.2892,11.6564,82,SAV,25.7,1150
CH-Cha,Chamau,"Tier1,",Tier1: 2005,Tier1: 2014,47.2102,8.4104,393,GRA,9.5,1136
,,Tier2,Tier2: 2005,Tier2: 2014,,,,,,
CH-Dav,Davos,"Tier1,",Tier1: 1997,Tier1: 2014,46.8153,9.8559,1639,ENF,2.8,1062
,,Tier2,Tier2: 1997,Tier2: 2014,,,,,,
CH-Fru,Früebüel ,"Tier1,",Tier1: 2005,Tier1: 2014,47.1158,8.5378,982,GRA,7.2,1651
,,Tier2,Tier2: 2005,Tier2: 2014,,,,,,
CH-Lae,Laegern,"Tier1,",Tier1: 2004,Tier1: 2014,47.4781,8.365,689,MF,8.3,1100
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
CH-Oe1,Oensingen grassland,"Tier1,",Tier1: 2002,Tier1: 2008,47.2858,7.7319,450,GRA,9,1100
,,Tier2,Tier2: 2002,Tier2: 2008,,,,,,
CH-Oe2,Oensingen crop,"Tier1,",Tier1: 2004,Tier1: 2014,47.2863,7.7343,452,CRO,9.8,1155
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
CN-Cha,Changbaishan,"Tier1,",Tier1: 2003,Tier1: 2005,42.4025,128.0958,,MF,,
,,Tier2,Tier2: 2003,Tier2: 2005,,,,,,
CN-Cng,Changling,"Tier1,",Tier1: 2007,Tier1: 2010,44.5934,123.5092,,GRA,,
,,Tier2,Tier2: 2007,Tier2: 2010,,,,,,
CN-Dan,Dangxiong,"Tier1,",Tier1: 2004,Tier1: 2005,30.4978,91.0664,,GRA,,
,,Tier2,Tier2: 2004,Tier2: 2005,,,,,,
CN-Din,Dinghushan,"Tier1,",Tier1: 2003,Tier1: 2005,23.1733,112.5361,,EBF,,
,,Tier2,Tier2: 2003,Tier2: 2005,,,,,,
CN-Du2,Duolun_grassland (D01),"Tier1,",Tier1: 2006,Tier1: 2008,42.0467,116.2836,,GRA,,
,,Tier2,Tier2: 2006,Tier2: 2008,,,,,,
CN-Du3,Duolun Degraded Meadow,Tier2,Tier2: 2009,Tier2: 2010,42.0551,116.2809,,GRA,,
CN-Ha2,Haibei Shrubland,"Tier1,",Tier1: 2003,Tier1: 2005,37.6086,101.3269,,WET,,
,,Tier2,Tier2: 2003,Tier2: 2005,,,,,,
CN-HaM,Haibei Alpine Tibet site,"Tier1,",Tier1: 2002,Tier1: 2004,37.37,101.18,,GRA,,
,,Tier2,Tier2: 2002,Tier2: 2004,,,,,,
CN-Qia,Qianyanzhou,"Tier1,",Tier1: 2003,Tier1: 2005,26.7414,115.0581,,ENF,,
,,Tier2,Tier2: 2003,Tier2: 2005,,,,,,
CN-Sw2,Siziwang Grazed (SZWG),"Tier1,",Tier1: 2010,Tier1: 2012,41.7902,111.8971,,GRA,,
,,Tier2,Tier2: 2010,Tier2: 2012,,,,,,
CZ-BK1,Bily Kriz forest,"Tier1,",Tier1: 2004,Tier1: 2008,49.5021,18.5369,875,ENF,6.7,1316
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
CZ-BK2,Bily Kriz grassland,"Tier1,",Tier1: 2004,Tier1: 2006,49.4944,18.5429,855,GRA,6.7,1316
,,Tier2,Tier2: 2004,Tier2: 2012,,,,,,
CZ-wet,Trebon (CZECHWET),"Tier1,",Tier1: 2006,Tier1: 2014,49.0247,14.7704,426,WET,7.7,604
,,Tier2,Tier2: 2006,Tier2: 2014,,,,,,
DE-Akm,Anklam,"Tier1,",Tier1: 2009,Tier1: 2014,53.8662,13.6834,-1,WET,8.7,558
